Geographic Location,Payee Name of Record,Address1 of Record,Address 2 of Record,City of Record,State of Record,Zip of Record
"Cook County, Illinois",ERC PROPERTIES LLC,3720 N KEDZIE AVE,,CHICAGO,IL,60618
"Dallas, TX",CSL REMINGTON LLC AND ET AL,"C/O POPP HUTCHESON PLLC 1301 S MOPAC EXPWY STE 430 AUSTIN, TX 78746",,,,
"Dallas, TX",220 OVERTON APTS DALLAS LLC,"C/O PATRICK HODGINS 3523 MCKINNEY AVE STE 221 DALLAS, TX 75204",,,,
"Cook County, Illinois",I SHAR L P,609 N UNION AVE,,CHICAGO,IL,60654
"Cook County, Illinois",HOWARD BROWN HEALTH CE,3501 N HALSTED ST,,CHICAGO,IL,60657
"Cook County, Illinois",I SHAR L P,609 N UNION AVE,,CHICAGO,IL,60654
"Dallas, TX",AMERICAN WOODMARK CORP,"561 SHADY ELM RD. WINCHESTER, VA 22602",,,,
"Dallas, TX",WP MIDTOWN MNF DFW OWNER LLC &,8250 MEADOW RD GROUND OWNER C/O LOGAN GUESS 13155 NOEL RD STE 1850,,,,
"Cook County, Illinois",ALLSTATE INSURANCE CO,2675  SANDERS RD,,NORTHBROOK,IL,60062
"Cook County, Illinois",CADILLAC PRNTG & LITHO,1900 S 25TH AVE,,BROADVIEW,IL,60155
"Cook County, Illinois",CHURCH OF JESUS CHRIST,822 N CLARK ST,,CHICAGO,IL,60610
"Dallas, TX",QUALITY INVESTMENT PPTIES IRVING LLC,C/O QTS DATACENTERS ATTN: PROPERTY TAX 12851 FOSTER ST,,,,
"Cook County, Illinois",MOODY BIBLE MORNINGSID,171 W OAK ST,,CHICAGO,IL,60610
"Cook County, Illinois",BRIGHT HOPE INTL,2060  STONINGTON AVE,,HOFFMAN ESTATES,IL,60169
"Cook County, Illinois",MACNEAL HOSP.FIANCE,6741  WINDSOR AVE,,BERWYN,IL,60402
"Dallas, TX",PURE LA VILLITA APTS LLC,"C/O CORTLAND PARTNERS ATTN: KYLE BATEH 14675 DALLAS PKWY., STE 550",,,,
"Cook County, Illinois",RPS ARLINGTON LLC,526 E RAND RD,,ARLINGTON HEIGHTS,IL,0
